player,position,team,birth_year,minutes,goals,assists,offsides,crosses,interceptions,tackles_won,pens_conceded,ball_recoveries,aerials_won,aerials_lost
Aaron Mooy,MF,Australia,1990,360,0,0,0,10,3,6,0,35,2,3
Aaron Ramsey,MF,Wales,1990,266,0,0,0,5,0,0,0,19,0,2
Abdelhamid Sabiri,MF,Morocco,1996,181,0,1,0,1,5,1,0,7,2,2
Abdelkarim Hassan,DF,Qatar,1993,270,0,0,1,6,1,3,0,11,3,1
Abderrazak Hamdallah,FW,Morocco,1990,68,0,0,0,0,0,0,0,4,1,7
Abdessamad Ezzalzouli,FW,Morocco,2001,93,0,0,0,1,0,2,0,4,1,2
Abdou Diallo,DF,Senegal,1996,331,0,0,0,3,1,2,0,17,7,6
Abdul Fatawu Issahaku,FW,Ghana,2004,1,0,0,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,1990,196,0,0,0,1,1,1,0,4,1,2
Abdulelah Al-Amri,DF,Saudi Arabia,1997,182,0,0,0,1,4,0,0,15,10,4
Abdulellah Al-Malki,MF,Saudi Arabia,1994,174,0,0,0,1,2,1,0,9,0,1
Abdullah Madu,DF,Saudi Arabia,1993,45,0,0,0,0,0,0,0,2,1,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,1995,35,0,0,0,2,0,3,0,1,1,1
Abolfazl Jalali,DF,IR Iran,1998,19,0,0,0,2,0,0,0,3,0,0
Achraf Dari,DF,Morocco,1999,187,1,0,0,0,5,0,0,10,5,5
Achraf Hakimi,DF,Morocco,1998,631,0,1,0,12,9,17,0,46,5,8
Adrien Rabiot,MF,France,1995,483,1,1,0,7,10,9,0,30,15,8
Agustín Canobbio,MF,Uruguay,1998,11,0,0,0,0,0,1,0,2,0,1
Ahmad Nourollahi,MF,IR Iran,1993,223,0,0,0,3,6,3,0,15,1,0
Ahmed Alaaeldin,FW,Qatar,1993,6,0,0,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,1997,270,0,0,0,0,0,0,0,3,0,0
Ajdin Hrustic,MF,Australia,1996,62,0,0,0,1,1,0,0,3,0,2
Akram Afif,FW,Qatar,1996,270,0,0,1,13,0,0,0,14,1,1
Alan Franco,MF,Ecuador,1998,46,0,0,0,0,2,0,0,1,1,1
Alejandro Balde,DF,Spain,2003,126,0,0,0,2,0,6,0,10,0,2
Aleksandar Mitrović,FW,Serbia,1994,262,2,0,1,1,0,0,0,6,5,12
Alex Sandro,DF,Brazil,1991,190,0,0,0,4,3,3,0,16,3,1
Alex Telles,DF,Brazil,1992,59,0,0,0,3,0,2,0,1,1,1
Alexander Bah,DF,Denmark,1997,46,0,0,0,4,2,4,0,3,4,0
Alexander Djiku,DF,Ghana,1994,97,0,0,0,0,2,1,0,3,2,0
Alexis Mac Allister,MF,Argentina,1998,550,1,1,0,1,3,4,0,40,5,12
Alexis Vega,FW,Mexico,1997,193,0,0,4,6,1,0,0,16,1,5
Ali Abdi,DF,Tunisia,1993,188,0,0,1,5,4,5,0,17,9,5
Ali Al Hassan,MF,Saudi Arabia,1997,45,0,0,0,1,0,1,0,1,0,0
Ali Al-Bulaihi,DF,Saudi Arabia,1989,216,0,0,0,0,3,2,0,5,3,3
Ali Assadalla,MF,Qatar,1993,27,0,0,0,0,0,0,0,1,0,0
Ali Gholizadeh,MF,IR Iran,1996,199,0,1,2,4,3,0,0,21,0,1
Ali Karimi,MF,IR Iran,1994,99,0,0,0,2,3,3,0,6,3,2
Ali Maâloul,DF,Tunisia,1990,90,0,0,0,13,0,1,0,5,0,1
Alidu Seidu,DF,Ghana,2000,155,0,0,0,6,0,4,0,6,1,0
Alireza Beiranvand,GK,IR Iran,1992,109,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,1993,59,0,0,0,1,1,1,0,1,0,3
Alisson,GK,Brazil,1992,379,0,0,0,0,0,0,0,7,1,0
Alistair Johnston,DF,Canada,1998,270,0,0,0,8,2,3,0,16,4,2
Almoez Ali,FW,Qatar,1996,224,0,0,3,0,1,0,0,6,2,9
Alphonso Davies,MF,Canada,2000,270,1,0,1,10,3,1,0,14,3,2
Amadou Onana,MF,Belgium,2001,104,0,0,0,0,0,1,0,7,2,0
Anass Zaroury,FW,Morocco,2000,27,0,0,1,3,0,0,0,3,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,1995,260,0,1,0,2,5,0,0,16,4,0
Andreas Christensen,DF,Denmark,1996,270,1,0,1,0,4,2,0,20,6,4
Andreas Cornelius,FW,Denmark,1993,92,0,0,0,1,0,0,0,2,11,8
Andreas Skov Olsen,FW,Denmark,1999,132,0,0,0,4,1,0,0,3,1,2
Andrej Kramarić,FW,Croatia,1991,474,2,0,2,6,0,2,0,18,0,4
Andries Noppert,GK,Netherlands,1994,480,0,0,0,0,0,0,0,4,0,0
Andrija Živković,DF,Serbia,1996,210,0,2,0,8,3,3,0,11,2,2
André Ayew,MF,Ghana,1989,198,1,0,1,0,0,1,0,6,3,13
André Onana,GK,Cameroon,1996,80,0,0,0,0,0,0,0,1,0,0
André Silva,FW,Portugal,1995,26,0,0,0,0,0,0,0,0,1,2
Andrés Guardado,MF,Mexico,1986,41,0,0,0,0,0,2,0,5,0,0
Anis Ben Slimane,MF,Tunisia,2001,148,0,0,0,8,1,1,0,5,5,3
Ansu Fati,FW,Spain,2002,46,0,0,0,1,0,1,0,1,1,0
Ante Budimir,FW,Croatia,1991,55,0,0,0,0,0,1,0,0,2,4
Anthony Contreras,FW,Costa Rica,2000,125,0,0,0,1,1,2,0,4,5,6
Antoine Griezmann,MF,France,1991,537,0,3,3,40,8,8,0,34,5,4
Antoine Semenyo,FW,Ghana,2000,20,0,0,1,0,0,0,0,0,1,4
Antonee Robinson,DF,United States,1997,359,0,0,1,21,7,4,0,40,5,3
Antonio Rüdiger,DF,Germany,1993,270,0,0,1,0,0,1,0,20,6,1
Antony,FW,Brazil,2000,172,0,0,0,10,1,0,0,12,1,2
António Silva,DF,Portugal,2003,90,0,0,0,0,1,1,0,4,2,4
Ao Tanaka,MF,Japan,1998,171,1,0,0,2,3,1,0,9,3,1
Ardon Jasari,FW,Switzerland,2002,2,0,0,0,0,0,0,0,1,0,0
Arkadiusz Milik,FW,Poland,1994,101,0,0,1,0,0,0,0,3,4,5
Artur Jędrzejczyk,DF,Poland,1987,19,0,0,0,0,0,0,0,0,0,0
Asiri Haitham,FW,Saudi Arabia,2001,2,0,0,0,0,0,0,0,0,0,1
Assim Madibo,MF,Qatar,1996,153,0,0,0,0,2,3,0,15,1,0
Atiba Hutchinson,MF,Canada,1983,159,0,0,0,0,1,1,0,10,5,0
Aurélien Tchouaméni,MF,France,2000,621,1,0,0,3,14,4,1,44,5,2
Awer Mabil,MF,Australia,1995,24,0,0,0,0,1,0,0,2,0,2
Axel Disasi,DF,France,1998,92,0,0,0,2,3,2,0,4,4,0
Axel Witsel,MF,Belgium,1989,270,0,0,0,0,4,2,0,12,4,2
Ayase Ueda,FW,Japan,1998,45,0,0,0,0,0,0,0,3,1,0
Aymeric Laporte,DF,Spain,1994,300,0,0,0,0,3,0,0,17,5,3
Aziz Behich,DF,Australia,1990,360,0,0,0,5,3,3,0,22,2,2
Azzedine Ounahi,MF,Morocco,2000,568,0,0,1,3,7,8,0,38,1,3
Aïssa Laïdouni,MF,Tunisia,1996,243,0,1,0,3,4,3,0,25,3,1
Baba Rahman,DF,Ghana,1994,183,0,0,0,11,1,3,0,6,2,4
Badr Banoun,DF,Morocco,1993,54,0,0,0,0,1,0,0,2,0,1
Bailey Wright,DF,Australia,1992,17,0,0,0,0,0,0,0,0,1,3
Bamba Dieng,FW,Senegal,2000,100,1,0,0,1,0,1,0,4,2,8
Bartosz Bereszyński,DF,Poland,1992,341,0,0,0,4,2,2,0,15,4,2
Bassam Al-Rawi,DF,Qatar,1997,90,0,0,0,0,0,0,0,3,1,0
Ben Davies,DF,Wales,1993,238,0,0,0,0,1,2,0,20,7,4
Benjamin Pavard,DF,France,1996,88,0,0,0,1,1,0,0,5,0,0
Bernardo Silva,MF,Portugal,1994,356,0,0,0,5,2,2,0,32,1,2
Bilal El Khannous,MF,Morocco,2004,55,0,0,0,0,0,0,0,0,0,1
Borna Barišić,DF,Croatia,1992,120,0,0,0,11,0,1,0,3,6,2
Borna Sosa,DF,Croatia,1998,424,0,0,0,21,2,6,0,14,4,4
Boualem Khoukhi,DF,Qatar,1990,270,0,0,0,0,3,2,0,16,6,7
Boulaye Dia,FW,Senegal,1996,318,1,0,2,1,1,0,0,7,5,7
Brandon Aguilera,MF,Costa Rica,2003,90,0,0,1,1,1,0,0,8,2,1
Breel Embolo,FW,Switzerland,1997,323,2,0,2,0,0,0,0,6,2,8
Brenden Aaronson,MF,United States,2000,108,0,0,0,3,1,2,0,9,0,1
Brennan Johnson,FW,Wales,2001,91,0,0,0,1,0,0,0,3,0,2
Bruno Fernandes,FW,Portugal,1994,356,2,3,1,26,2,3,0,23,2,8
Bruno Guimarães,MF,Brazil,1997,69,0,0,0,3,0,0,0,6,1,0
Bruno Petković,FW,Croatia,1994,234,1,0,0,1,0,4,0,9,8,13
Bryan Mbeumo,FW,Cameroon,1999,233,0,0,0,12,1,0,0,7,5,9
Bryan Oviedo,DF,Costa Rica,1990,260,0,0,1,2,3,5,0,14,2,0
Bryan Ruiz,MF,Costa Rica,1985,30,0,0,0,0,0,1,0,1,2,2
Bukayo Saka,FW,England,2001,288,3,0,2,5,2,4,0,13,1,1
Callum Wilson,FW,England,1992,48,0,1,0,0,0,0,0,3,1,0
Cameron Carter-Vickers,DF,United States,1997,90,0,0,0,0,0,0,0,4,4,4
Carlos Gruezo,MF,Ecuador,1995,45,0,0,0,0,0,2,0,2,0,1
Carlos Martínez,DF,Costa Rica,1999,45,0,0,0,0,1,1,0,3,1,0
Carlos Soler,MF,Spain,1997,92,1,0,0,3,0,0,0,3,0,1
Casemiro,MF,Brazil,1992,390,1,0,0,2,7,4,0,22,3,3
Celso Borges,MF,Costa Rica,1988,249,0,0,0,2,4,1,0,17,6,0
Charles De Ketelaere,FW,Belgium,2001,16,0,0,0,0,0,0,0,3,0,3
Charly Rodríguez,MF,Mexico,1997,34,0,0,0,1,0,0,0,6,0,1
Cheikhou Kouyaté,MF,Senegal,1989,72,0,0,0,2,2,0,0,5,1,2
Cho Guesung,FW,Korea Republic,1998,275,2,0,4,1,0,0,0,4,21,12
Cho Yumin,FW,Korea Republic,1996,1,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,1997,270,0,0,1,0,1,6,0,8,7,2
Christian Bassogog,MF,Cameroon,1995,24,0,0,0,2,1,0,0,2,0,0
Christian Eriksen,MF,Denmark,1992,270,0,0,0,30,0,0,0,30,0,4
Christian Fassnacht,FW,Switzerland,1993,8,0,0,0,0,0,0,0,2,0,0
Christian Nørgaard,MF,Denmark,1994,6,0,0,0,0,0,0,0,2,0,0
Christian Pulisic,FW,United States,1998,315,1,2,1,31,0,0,0,11,2,4
Christopher Wooh,DF,Cameroon,2001,90,0,0,0,0,1,0,0,0,0,0
Cody Gakpo,FW,Netherlands,1999,450,3,0,3,33,3,2,0,19,5,5
Collins Fai,DF,Cameroon,1992,270,0,0,0,13,4,2,0,21,1,1
Connor Roberts,DF,Wales,1995,200,0,0,0,7,1,3,0,8,1,1
Craig Goodwin,MF,Australia,1991,234,1,1,0,18,0,3,0,14,1,5
Cristian Romero,DF,Argentina,1998,547,0,0,0,0,4,3,0,35,12,8
Cristiano Ronaldo,FW,Portugal,1985,290,1,0,7,2,0,0,0,6,8,4
Cyle Larin,FW,Canada,1995,137,0,0,2,3,0,0,0,4,2,1
César Azpilicueta,DF,Spain,1989,135,0,1,0,3,1,0,0,5,2,2
César Montes,DF,Mexico,1997,270,0,1,0,0,2,3,0,13,7,5
Daichi Kamada,FW,Japan,1996,322,0,0,3,5,0,3,0,10,3,2
Daizen Maeda,FW,Japan,1997,180,1,0,2,0,3,2,0,4,1,6
Daley Blind,DF,Netherlands,1990,423,1,1,0,6,5,9,0,24,5,7
Damian Szymański,MF,Poland,1995,29,0,0,0,0,1,0,0,0,0,0
Dani Alves,DF,Brazil,1983,118,0,0,0,6,2,4,0,9,1,1
Dani Carvajal,DF,Spain,1992,135,0,0,0,0,2,1,0,9,0,1
Dani Olmo,FW,Spain,1998,367,1,1,2,10,1,3,0,15,0,4
Daniel Amartey,DF,Ghana,1994,251,0,0,0,0,3,4,0,15,5,4
Daniel Chacón,MF,Costa Rica,2001,1,0,0,0,0,0,0,0,0,1,0
Daniel James,FW,Wales,1997,154,0,0,0,4,0,1,0,4,0,1
Daniel Kyereh,MF,Ghana,1996,33,0,0,0,5,0,2,0,3,0,1
Danilo,DF,Brazil,1991,281,0,0,0,8,3,2,0,17,4,1
Danilo Pereira,DF,Portugal,1991,90,0,0,0,0,3,2,0,4,5,1
Danny Ward,GK,Wales,1993,94,0,0,0,0,0,0,0,2,0,0
Darko Lazović,DF,Serbia,1990,25,0,0,0,1,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,1999,240,0,0,0,4,0,2,0,6,5,10
David Raum,DF,Germany,1998,242,0,1,1,24,7,3,0,12,5,3
David Wotherspoon,MF,Canada,1990,15,0,0,0,1,0,0,0,3,0,0
Davy Klaassen,MF,Netherlands,1993,190,1,2,0,2,1,2,0,14,2,2
Dayot Upamecano,DF,France,1998,480,0,0,0,0,6,7,1,33,7,7
DeAndre Yedlin,DF,United States,1993,33,0,0,0,4,0,1,0,1,1,0
Declan Rice,MF,England,1999,417,0,0,0,4,11,5,0,29,3,3
Dejan Lovren,DF,Croatia,1989,600,0,1,1,3,6,2,0,31,17,6
Denis Odoi,DF,Ghana,1988,13,0,0,0,0,0,0,0,0,0,4
Denis Zakaria,MF,Switzerland,1996,59,0,0,0,0,3,0,0,5,1,2
Denzel Dumfries,DF,Netherlands,1996,479,1,2,2,8,7,5,1,16,9,10
Devis Epassy,GK,Cameroon,1993,180,0,0,0,0,0,0,0,1,2,0
Diego Godín,DF,Uruguay,1986,151,0,0,0,0,1,0,0,6,8,2
Diogo Costa,GK,Portugal,1999,450,0,0,0,0,0,0,0,9,0,1
Diogo Dalot,DF,Portugal,1999,258,0,2,0,9,2,6,0,13,6,3
Djibril Sow,MF,Switzerland,1997,264,0,1,0,1,2,1,0,9,1,2
Djorkaeff Reasco,FW,Ecuador,1999,27,0,0,0,0,0,0,0,1,0,0
Dominik Livaković,GK,Croatia,1995,690,0,0,0,0,0,0,1,11,1,0
Dries Mertens,MF,Belgium,1987,76,0,0,0,5,0,0,0,2,0,0
Dušan Tadić,MF,Serbia,1988,257,0,2,1,17,1,2,0,10,0,0
Dušan Vlahović,FW,Serbia,2000,79,1,0,0,0,0,0,0,3,2,2
Dylan Bronn,DF,Tunisia,1995,162,0,0,0,0,0,2,0,7,2,4
Eden Hazard,MF,Belgium,1991,124,0,0,0,1,1,0,0,7,1,1
Ederson,GK,Brazil,1993,90,0,0,0,0,0,0,0,2,0,0
Edimilson Fernandes,FW,Switzerland,1996,145,0,0,1,5,2,1,0,14,0,1
Edinson Cavani,FW,Uruguay,1987,124,0,0,1,0,0,0,0,6,2,1
Edouard Mendy,GK,Senegal,1992,360,0,0,0,0,0,0,0,4,3,1
Edson Álvarez,MF,Mexico,1997,175,0,0,1,0,4,2,0,10,11,5
Eduardo Camavinga,DF,France,2002,140,0,0,0,2,3,9,0,15,2,0
Ehsan Hajsafi,MF,IR Iran,1990,237,0,0,0,11,2,3,0,10,2,0
Ellyes Skhiri,MF,Tunisia,1995,270,0,0,0,2,7,3,0,18,1,0
Emiliano Martínez,GK,Argentina,1992,690,0,0,0,0,0,0,0,4,2,0
Enner Valencia,FW,Ecuador,1989,255,3,0,2,3,1,0,0,8,2,8
Enzo Ebosse,DF,Cameroon,1999,90,0,0,0,0,0,2,0,1,2,0
Enzo Fernández,MF,Argentina,2001,564,1,1,0,2,3,15,0,39,9,3
Eray Cömert,DF,Switzerland,1998,46,0,0,0,0,2,0,0,4,0,0
Eric Dier,DF,England,1994,36,0,0,0,0,0,1,0,3,1,1
Eric Maxim Choupo-Moting,FW,Cameroon,1989,253,1,0,1,0,1,2,0,8,11,6
Erick Gutiérrez,MF,Mexico,1995,49,0,0,0,0,2,1,0,3,1,0
Ethan Ampadu,MF,Wales,2000,255,0,0,0,2,4,3,0,16,3,5
Everton Ribeiro,MF,Brazil,1989,36,0,0,0,2,0,0,0,0,0,0
Exequiel Palacios,MF,Argentina,1998,50,0,0,0,0,2,0,0,6,0,1
Fabian Frei,MF,Switzerland,1989,25,0,0,0,0,1,1,0,2,0,1
Fabian Rieder,FW,Switzerland,2002,68,0,0,0,1,0,2,0,4,0,1
Fabian Schär,DF,Switzerland,1991,135,0,0,0,0,2,1,0,7,4,4
Fabinho,MF,Brazil,1993,90,0,0,0,0,1,2,0,9,1,6
Facundo Pellistri,MF,Uruguay,2001,181,0,0,0,3,0,1,0,9,0,6
Famara Diedhiou,FW,Senegal,1992,92,1,0,1,0,0,0,0,3,5,4
Federico Valverde,MF,Uruguay,1998,270,0,0,0,7,5,4,0,19,1,3
Ferjani Sassi,MF,Tunisia,1992,48,0,0,0,0,1,0,0,5,2,0
Ferrán Torres,FW,Spain,2000,217,2,0,2,9,0,0,0,8,0,3
Filip Kostić,DF,Serbia,1992,179,0,0,2,16,0,3,0,12,0,0
Filip Mladenović,DF,Serbia,1991,65,0,0,0,1,0,0,0,4,1,0
Filip Đuričić,MF,Serbia,1992,14,0,0,0,0,0,0,0,0,2,1
Firas Al-Buraikan,MF,Saudi Arabia,2000,268,0,1,1,2,2,3,0,7,5,7
Fodé Ballo-Touré,DF,Senegal,1997,7,0,0,0,2,0,0,0,0,1,0
Fran Karačić,DF,Australia,1996,93,0,0,0,5,2,1,0,9,4,4
Francisco Calvo,DF,Costa Rica,1992,180,0,0,1,0,2,4,0,12,2,1
Fred,MF,Brazil,1993,142,0,0,0,0,0,3,0,7,0,2
Frenkie de Jong,MF,Netherlands,1997,475,1,1,0,3,6,5,0,30,8,1
Félix Torres Caicedo,DF,Ecuador,1997,270,0,1,0,0,4,2,0,17,9,4
Gabriel Jesus,FW,Brazil,1997,93,0,0,0,1,2,1,0,2,1,1
Garang Kuol,FW,Australia,2004,37,0,0,0,0,1,0,0,0,1,2
Gareth Bale,FW,Wales,1989,225,1,0,2,2,1,1,0,9,4,7
Gavi,MF,Spain,2004,284,1,0,0,4,1,4,0,7,2,5
Gaël Ondoua,MF,Cameroon,1995,47,0,0,0,0,2,1,0,2,1,2
Georges-Kévin N'Koudou,FW,Cameroon,1995,27,0,0,0,2,0,0,0,3,0,1
Germán Pezzella,DF,Argentina,1991,60,0,0,0,0,0,0,0,1,0,6
Gerson Torres,MF,Costa Rica,1997,64,0,0,0,0,0,0,0,4,0,0
Ghaylène Chaalali,MF,Tunisia,1994,17,0,0,0,0,2,0,0,2,1,0
Gideon Mensah,DF,Ghana,1998,87,0,1,0,1,2,1,0,4,4,2
Gio Reyna,FW,United States,2002,53,0,0,0,2,0,0,0,1,2,0
